Pi	CntProbe	CntProbeLmt	IsCensored	Seed	Error	OFTol	Significant Figures:	
3.1417004049	1164.0	100000000	False	7151947	0.0001077513	0.0005	3	
3.1423785595	938.0	100000000	False	4337336	0.0007859059	0.0005	3	
3.1421446384	630.0	100000000	False	5099316	0.0005519848	0.0005	3	
3.141509434	333.0	100000000	False	4581389	-8.32196e-05	0.0005	3	
3.1424749164	2349.0	100000000	False	500173	0.0008822628	0.0005	3	
3.1417108008	9788.0	100000000	False	3590854	0.0001181472	0.0005	3	
3.1421446384	630.0	100000000	False	1024535	0.0005519848	0.0005	3	
3.1419939577	520.0	100000000	False	2999364	0.0004013041	0.0005	3	
3.1416781293	1142.0	100000000	False	6590290	8.54757e-05	0.0005	3	
3.1423001949	806.0	100000000	False	8068304	0.0007075413	0.0005	3	
3.1418020679	2127.0	100000000	False	5607693	0.0002094144	0.0005	3	
3.141548328	17145.0	100000000	False	9592577	-4.43256e-05	0.0005	3	
3.1422505308	740.0	100000000	False	6199298	0.0006578772	0.0005	3	
3.1417550627	1629.0	100000000	False	4070219	0.0001624091	0.0005	3	
3.142071494	1714.0	100000000	False	4174914	0.0004788405	0.0005	3	
3.1424964553	424424.0	100000000	False	6481682	0.0009038017	0.0005	3	
3.1420911528	1172.0	100000000	False	4683545	0.0004984992	0.0005	3	
3.1420331651	2179.0	100000000	False	927504	0.0004405115	0.0005	3	
3.1423611111	1810.0	100000000	False	3708313	0.0007684575	0.0005	3	
3.1419624217	1505.0	100000000	False	5620661	0.0003697681	0.0005	3	
3.1421911422	674.0	100000000	False	5800430	0.0005984886	0.0005	3	
3.1415146345	59838.0	100000000	False	7298128	-7.80191e-05	0.0005	3	
3.1416309013	366.0	100000000	False	1359042	3.82477e-05	0.0005	3	
3.1419939577	1560.0	100000000	False	345710	0.0004013041	0.0005	3	
3.1423149905	828.0	100000000	False	9997147	0.0007223369	0.0005	3	
3.1417218543	2372.0	100000000	False	9204733	0.0001292007	0.0005	3	
3.1416309013	366.0	100000000	False	6801933	3.82477e-05	0.0005	3	
3.1423076923	817.0	100000000	False	6528589	0.0007150387	0.0005	3	
3.1421254802	1227.0	100000000	False	8211080	0.0005328266	0.0005	3	
3.1422845691	784.0	100000000	False	1590264	0.0006919155	0.0005	3	
3.1416309013	366.0	100000000	False	7135689	3.82477e-05	0.0005	3	
3.1420765027	575.0	100000000	False	1317828	0.0004838491	0.0005	3	
3.1417624521	820.0	100000000	False	9910938	0.0001697985	0.0005	3	
3.1422924901	795.0	100000000	False	2077691	0.0006998365	0.0005	3	
3.1424876137	78966.0	100000000	False	69393	0.0008949601	0.0005	3	
3.1416280609	4747.0	100000000	False	8835075	3.54073e-05	5e-05	4	
3.1415715893	48875.0	100000000	False	206997	-2.10643e-05	5e-05	4	
3.1416405199	7009.0	100000000	False	7721195	4.78664e-05	5e-05	4	
3.1415776241	19993.0	100000000	False	6544386	-1.50295e-05	5e-05	4	
3.1415525114	344.0	100000000	False	9473933	-4.01422e-05	5e-05	4	
3.1416176015	5069.0	100000000	False	2726201	2.49479e-05	5e-05	4	
3.14160401	2507.0	100000000	False	7262263	1.13564e-05	5e-05	4	
3.1415525114	688.0	100000000	False	1836278	-4.01422e-05	5e-05	4	
3.1415523049	69477.0	100000000	False	3334449	-4.03486e-05	5e-05	4	
3.1415730337	3495.0	100000000	False	4812429	-1.96199e-05	5e-05	4	
3.1416216216	1453.0	100000000	False	3585287	2.8968e-05	5e-05	4	
3.1416309013	366.0	100000000	False	9724875	3.82477e-05	5e-05	4	
3.141564318	2430.0	100000000	False	903044	-2.83356e-05	5e-05	4	
3.1415525114	688.0	100000000	False	3909045	-4.01422e-05	5e-05	4	
3.1415594247	2075.0	100000000	False	3502313	-3.32289e-05	5e-05	4	
3.1415525114	688.0	100000000	False	4499347	-4.01422e-05	5e-05	4	
3.1416457532	421246.0	100000000	False	880022	5.30996e-05	5e-05	4	
3.1416122004	2163.0	100000000	False	5439314	1.95468e-05	5e-05	4	
3.1415765427	54321.0	100000000	False	8679624	-1.61109e-05	5e-05	4	
3.1416312407	79444.0	100000000	False	8867656	3.85871e-05	5e-05	4	
3.1415863603	2119.0	100000000	False	1210710	-6.2933e-06	5e-05	4	
3.1415525114	688.0	100000000	False	7060954	-4.01422e-05	5e-05	4	
3.1416413374	5168.0	100000000	False	9385963	4.86838e-05	5e-05	4	
3.1416007036	1786.0	100000000	False	4568997	8.05e-06	5e-05	4	
3.1416482238	233514.0	100000000	False	6962335	5.55702e-05	5e-05	4	
3.1415525114	688.0	100000000	False	7349109	-4.01422e-05	5e-05	4	
3.1416067521	5025.0	100000000	False	9774693	1.40985e-05	5e-05	4	
3.1416390336	3316.0	100000000	False	960421	4.638e-05	5e-05	4	
3.1415929204	3550.0	100000000	False	4316049	2.668e-07	5e-05	4	
3.1416122004	3605.0	100000000	False	8774234	1.95468e-05	5e-05	4	
3.1415525114	1376.0	100000000	False	868501	-4.01422e-05	5e-05	4	
3.1416309013	1098.0	100000000	False	1404971	3.82477e-05	5e-05	4	
3.1416454623	3704.0	100000000	False	1477503	5.28087e-05	5e-05	4	
3.1416454623	1852.0	100000000	False	2538567	5.28087e-05	5e-05	4	
3.1415929204	710.0	100000000	False	6519054	2.668e-07	5e-05	4	
3.141647443	496407.0	100000000	False	2738902	5.47894e-05	5e-05	4	
