sampleId	piHat	cntProbe	isCensored	seedInit	OFError	signifDigits	runtime	solverName	
209	3.142	424.0	FALSE	820194	8.31660377360599e-05	4	0.0008728504180908203	Dart	
210	3.142	275.0	FALSE	1709024	0.00022558181818155276	4	0.0005681514739990234	Dart	
211	3.141	396.0	FALSE	3510276	0.00017845858585863184	4	0.0008149147033691406	Dart	
212	3.142	1738.0	FALSE	342231	5.059769850390694e-05	4	0.003778696060180664	Dart	
213	3.142	699.0	FALSE	1024260	3.8301287553554886e-05	4	0.0014431476593017578	Dart	
214	3.141	899.0	FALSE	6542198	0.00032452436040042443	4	0.0019428730010986328	Dart	
215	3.141	382.0	FALSE	6655979	0.000231343455497246	4	0.0008289813995361328	Dart	
216	3.142	811.0	FALSE	2153532	0.00020764660912453436	4	0.0016777515411376953	Dart	
217	3.141	163.0	FALSE	3234716	0.0004883055214723875	4	0.0003409385681152344	Dart	
218	3.142	452.0	FALSE	3658158	3.203539824525592e-07	4	0.0009381771087646484	Dart	
219	3.141	736.0	FALSE	6405415	0.0002882521739131505	4	0.0016512870788574219	Dart	
220	3.141	1947.0	FALSE	7894418	0.00034966214689280406	4	0.004109621047973633	Dart	
221	3.142	345.0	FALSE	4411775	0.0004363855072462286	4	0.0010120868682861328	Dart	
222	3.142	564.0	FALSE	4959565	0.0002513716312058101	4	0.001168966293334961	Dart	
223	3.141	382.0	FALSE	2817293	0.000231343455497246	4	0.0013129711151123047	Dart	
224	3.142	494.0	FALSE	3038625	0.00010780485829942066	4	0.0010330677032470703	Dart	
225	3.142	275.0	FALSE	2118127	0.00022558181818155276	4	0.0006430149078369141	Dart	
226	3.141	992.0	FALSE	7881001	0.0004635677419355666	4	0.002087116241455078	Dart	
227	3.141	629.0	FALSE	4743789	9.81643879174321e-05	4	0.0013208389282226562	Dart	
228	3.142	606.0	FALSE	7441762	0.00032159141914167577	4	0.0012769699096679688	Dart	
229	3.141	191.0	FALSE	4041736	0.000231343455497246	4	0.0004038810729980469	Dart	
230	3.142	219.0	FALSE	3956060	4.008858447512864e-05	4	0.0004611015319824219	Dart	
231	3.141	340.0	FALSE	3018638	0.00041612941176483176	4	0.0007181167602539062	Dart	
232	3.141	354.0	FALSE	8021187	0.00034966214689280406	4	0.001071929931640625	Dart	
233	3.141	2678.0	FALSE	8051441	0.0004424879761018019	4	0.007031917572021484	Dart	
234	3.141	587.0	FALSE	7333226	0.0001956664395228458	4	0.0012199878692626953	Dart	
235	3.141	177.0	FALSE	7664700	0.00034966214689280406	4	0.00037598609924316406	Dart	
236	3.141	191.0	FALSE	3471193	0.000231343455497246	4	0.00040984153747558594	Dart	
237	3.142	895.0	FALSE	2155423	0.00030684134078207137	4	0.0026819705963134766	Dart	
238	3.141	163.0	FALSE	6694512	0.0004883055214723875	4	0.0004942417144775391	Dart	
239	3.142	317.0	FALSE	7468987	0.0003632359621450476	4	0.0014641284942626953	Dart	
240	3.142	732.0	FALSE	9240562	0.0004839027322405265	4	0.0019190311431884766	Dart	
241	3.142	783.0	FALSE	7265567	0.00016985210727948896	4	0.003525972366333008	Dart	
242	3.142	1077.0	FALSE	2356458	0.0004686813370473608	4	0.0037550926208496094	Dart	
243	3.142	261.0	FALSE	8682138	0.00016985210727948896	4	0.001451730728149414	Dart	
