ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
95	4.0	10.0	8794012	0.8584073464	0.00011181831359863281	Parallel	
96	4.0	10.0	5042100	0.8584073464	4.00543212890625e-05	Parallel	
97	4.0	10.0	4759645	0.8584073464	3.6716461181640625e-05	Parallel	
98	2.8571428571	10.0	6024618	-0.2844497964	3.6716461181640625e-05	Parallel	
99	2.5	10.0	6286018	-0.6415926536	3.790855407714844e-05	Parallel	
100	2.8571428571	10.0	591235	-0.2844497964	8.702278137207031e-05	Parallel	
101	2.9850746269	100.0	1460634	-0.1565180267	0.00042176246643066406	Parallel	
102	3.3333333333	100.0	4341339	0.1917406797	0.000392913818359375	Parallel	
103	3.5714285714	100.0	111673	0.4298359178	0.0003688335418701172	Parallel	
104	3.1746031746	100.0	1460103	0.033010521	0.0003509521484375	Parallel	
105	2.7777777778	100.0	5643433	-0.3638148758	0.0003440380096435547	Parallel	
106	3.1746031746	100.0	5335962	0.033010521	0.00033283233642578125	Parallel	
107	2.9411764706	100.0	2084665	-0.200416183	0.00031280517578125	Parallel	
108	2.8571428571	100.0	7706594	-0.2844497964	0.0003108978271484375	Parallel	
109	3.3898305085	100.0	107377	0.2482378549	0.00031280517578125	Parallel	
110	3.5714285714	100.0	988781	0.4298359178	0.00031304359436035156	Parallel	
111	2.8169014085	100.0	5746295	-0.3246912451	0.0003757476806640625	Parallel	
112	3.7735849057	100.0	592034	0.6319922521	0.0003287792205810547	Parallel	
113	3.3898305085	100.0	2324681	0.2482378549	0.0003170967102050781	Parallel	
114	3.125	100.0	9640757	-0.0165926536	0.0005853176116943359	Parallel	
115	3.2786885246	100.0	9883807	0.137095871	0.0005602836608886719	Parallel	
116	2.8571428571	100.0	4653114	-0.2844497964	0.0005109310150146484	Parallel	
117	3.0303030303	100.0	5778107	-0.1112896233	0.0003898143768310547	Parallel	
118	3.125	100.0	422923	-0.0165926536	0.0003917217254638672	Parallel	
119	2.9850746269	100.0	9892858	-0.1565180267	0.00038886070251464844	Parallel	
120	3.5714285714	100.0	7697303	0.4298359178	0.0003159046173095703	Parallel	
121	3.125	100.0	8083411	-0.0165926536	0.0003566741943359375	Parallel	
122	3.1746031746	100.0	4483347	0.033010521	0.0004749298095703125	Parallel	
123	3.3898305085	100.0	4710680	0.2482378549	0.0004329681396484375	Parallel	
124	2.9850746269	100.0	8721887	-0.1565180267	0.0004029273986816406	Parallel	
125	3.0769230769	100.0	9749916	-0.0646695767	0.0003619194030761719	Parallel	
126	3.5714285714	100.0	6899563	0.4298359178	0.0004889965057373047	Parallel	
