sampleId	piHat	numThrows	numThrowsLmt	isCensored	seedInit	OFerror	signifDigits	runtime	solverName	
266	3.141	163.0	5000	FALSE	8050179	0.0004883055214723875	4	0.0003452301025390625	Dart	
267	3.142	303.0	5000	FALSE	1725565	0.00032159141914167577	4	0.0006310939788818359	Dart	
268	3.142	219.0	5000	FALSE	2594543	4.008858447512864e-05	4	0.00045990943908691406	Dart	
269	3.142	317.0	5000	FALSE	8131745	0.0003632359621450476	4	0.0006730556488037109	Dart	
270	3.142	247.0	5000	FALSE	7844695	0.00010780485829942066	4	0.0005240440368652344	Dart	
271	3.141	191.0	5000	FALSE	2367556	0.000231343455497246	4	0.0004050731658935547	Dart	
272	3.142	578.0	5000	FALSE	50087	0.00027591211072675037	4	0.0012068748474121094	Dart	
273	3.142	452.0	5000	FALSE	1633545	3.203539824525592e-07	4	0.0009479522705078125	Dart	
274	3.142	2718.0	5000	FALSE	7095298	0.0004235883738044066	4	0.005733966827392578	Dart	
275	3.142	466.0	5000	FALSE	809276	3.8301287553554886e-05	4	0.0011010169982910156	Dart	
276	3.142	657.0	5000	FALSE	5948480	4.008858447512864e-05	4	0.0014121532440185547	Dart	
277	3.142	1818.0	5000	FALSE	5664094	0.00032159141914167577	4	0.0038290023803710938	Dart	
278	3.141	750.0	5000	FALSE	6079693	0.00025926666666675757	4	0.0015702247619628906	Dart	
279	3.141	177.0	5000	FALSE	7871983	0.00034966214689280406	4	0.0005202293395996094	Dart	
280	3.141	191.0	5000	FALSE	4530143	0.000231343455497246	4	0.0004000663757324219	Dart	
281	3.142	275.0	5000	FALSE	2338800	0.00022558181818155276	4	0.0010318756103515625	Dart	
282	3.141	163.0	5000	FALSE	7379137	0.0004883055214723875	4	0.0006232261657714844	Dart	
283	3.141	191.0	5000	FALSE	4996221	0.000231343455497246	4	0.0007140636444091797	Dart	
284	3.141	1374.0	5000	FALSE	7499056	0.00039900465793296647	4	0.004462003707885742	Dart	
285	3.141	410.0	5000	FALSE	9340268	0.0001291853658536013	4	0.001237630844116211	Dart	
286	3.141	205.0	5000	FALSE	2473574	0.0001291853658536013	4	0.0006263256072998047	Dart	
287	3.141	177.0	5000	FALSE	7973869	0.00034966214689280406	4	0.0005407333374023438	Dart	
288	3.142	275.0	5000	FALSE	2984047	0.00022558181818155276	4	0.0007171630859375	Dart	
289	3.142	718.0	5000	FALSE	2359975	0.0004686813370473608	4	0.0017771720886230469	Dart	
290	3.141	708.0	5000	FALSE	9846017	0.00034966214689280406	4	0.0017399787902832031	Dart	
291	3.141	191.0	5000	FALSE	6415705	0.000231343455497246	4	0.0004730224609375	Dart	
292	3.141	354.0	5000	FALSE	7320827	0.00034966214689280406	4	0.0008759498596191406	Dart	
293	3.141	191.0	5000	FALSE	889478	0.000231343455497246	4	0.0004673004150390625	Dart	
294	3.141	177.0	5000	FALSE	1551393	0.00034966214689280406	4	0.0006530284881591797	Dart	
295	3.141	177.0	5000	FALSE	154604	0.00034966214689280406	4	0.00043010711669921875	Dart	
296	3.142	480.0	5000	FALSE	4496063	7.406666666653905e-05	4	0.0010190010070800781	Dart	
297	3.142	247.0	5000	FALSE	2343435	0.00010780485829942066	4	0.0005998611450195312	Dart	
298	3.142	289.0	5000	FALSE	56676	0.00027591211072675037	4	0.000701904296875	Dart	
299	3.142	4550.0	5000	FALSE	1876036	0.0003854219780219381	4	0.010387897491455078	Dart	
300	3.1416	466.0	20000	FALSE	4019307	3.8301287553554886e-05	5	0.0011363029479980469	Dart	
301	3.1416	904.0	20000	FALSE	5155791	3.203539824525592e-07	5	0.0021910667419433594	Dart	
302	3.1416	219.0	20000	FALSE	8205319	4.008858447512864e-05	5	0.0004918575286865234	Dart	
303	3.1416	904.0	20000	FALSE	5177305	3.203539824525592e-07	5	0.0027260780334472656	Dart	
304	3.1416	1794.0	20000	FALSE	4189619	9.545373467201301e-06	5	0.004670143127441406	Dart	
305	3.1416	685.0	20000	FALSE	4419738	1.3239416058130615e-05	5	0.0016789436340332031	Dart	
306	3.1416	5112.0	20000	FALSE	1624644	3.4943035993606486e-05	5	0.012406110763549805	Dart	
307	3.1416	1328.0	20000	FALSE	4755945	2.63349397591206e-05	5	0.0038368701934814453	Dart	
308	3.1416	5051.0	20000	FALSE	731010	3.647250049487738e-05	5	0.011794090270996094	Dart	
309	3.1416	1850.0	20000	FALSE	1590626	2.9021621621438953e-05	5	0.003955841064453125	Dart	
310	3.1416	6887.0	20000	FALSE	2837110	2.1524059822919384e-05	5	0.014677047729492188	Dart	
311	3.1416	671.0	20000	FALSE	5339813	1.2868256333842254e-05	5	0.0014340877532958984	Dart	
