Experiment	ID	RunTime	IsCensored	OFTol	Error	CntProbe	Sig Figs	CntProbeLmt	Pi Hat	SeedInit	
Parallel	33	0.00011587142944335938	False	0.05	-0.0506835627	17.0	1	15625000000	3.0909090909	9358163	
Parallel	34	0.21648049354553223	False	0.05	0.0083729111	36590.0	1	15625000000	3.1499655647	2478700	
Parallel	35	0.0002574920654296875	False	0.05	-0.0304815425	42.0	1	15625000000	3.1111111111	8352643	
Parallel	36	0.0001437664031982422	False	0.05	0.0012644893	22.0	1	15625000000	3.1428571429	4169131	
Parallel	37	9.584426879882812e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	6096712	
Parallel	38	0.00013756752014160156	False	0.05	0.0012644893	22.0	1	15625000000	3.1428571429	6758644	
Parallel	39	0.00015020370483398438	False	0.05	-0.0749259869	23.0	1	15625000000	3.0666666667	9764317	
Parallel	40	0.0030794143676757812	False	0.05	-0.0871708849	449.0	1	15625000000	3.0544217687	8890031	
Parallel	41	8.177757263183594e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	5527582	
Parallel	42	0.0003523826599121094	False	0.05	-0.0646695767	60.0	1	15625000000	3.0769230769	2070584	
Parallel	43	9.965896606445312e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	8652934	
Parallel	44	0.0007483959197998047	False	0.05	-0.0813516897	127.0	1	15625000000	3.0602409639	9937573	
Parallel	45	7.796287536621094e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	9930896	
Parallel	46	9.655952453613281e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	1764599	
Parallel	47	7.486343383789062e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	1744266	
Parallel	48	0.0001399517059326172	False	0.05	0.0012644893	22.0	1	15625000000	3.1428571429	6799009	
Parallel	49	0.00010728836059570312	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	4155925	
Parallel	50	9.179115295410156e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	4643795	
Parallel	51	7.891654968261719e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	8728848	
Parallel	52	7.772445678710938e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	1950653	
Parallel	53	0.00023508071899414062	False	0.05	-0.0215926536	39.0	1	15625000000	3.12	8832752	
Parallel	54	0.0019271373748779297	False	0.05	0.0067327053	329.0	1	15625000000	3.1483253589	7051001	
Parallel	55	0.00010657310485839844	False	0.05	-0.0506835627	17.0	1	15625000000	3.0909090909	4458856	
Parallel	56	8.153915405273438e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	1438408	
Parallel	57	0.00024271011352539062	False	0.05	-0.0646695767	40.0	1	15625000000	3.0769230769	9738367	
Parallel	58	0.00030684471130371094	False	0.05	-0.0506835627	51.0	1	15625000000	3.0909090909	1338237	
Parallel	59	0.0013599395751953125	False	0.05	-0.0819900046	231.0	1	15625000000	3.059602649	7205554	
Parallel	60	0.0003159046173095703	False	0.05	-0.0165926536	50.0	1	15625000000	3.125	329572	
Parallel	61	7.390975952148438e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	6399379	
Parallel	62	9.036064147949219e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	5165319	
Parallel	63	0.01004171371459961	False	0.05	0.0076610778	1688.0	1	15625000000	3.1492537313	5861181	
Parallel	64	8.702278137207031e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	6845277	
Parallel	65	8.0108642578125e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	5582485	
Parallel	66	7.557868957519531e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	1566015	
Parallel	67	9.72747802734375e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	6389532	
