sampleId	piHat	numThrows	numThrowsLmt	isCensored	seedInit	OFerror	signifDigits	runtime	solverName	
36	3.1	66.0	400	FALSE	1040836	0.0012644892671427321	2	0.0003287792205810547	Needles1	
37	3.1	11.0	400	FALSE	9098519	0.0012644892671427321	2	5.1975250244140625e-05	Needles1	
38	3.1	204.0	400	FALSE	8138313	0.003131115128461648	2	0.0009539127349853516	Needles1	
39	3.1	330.0	400	FALSE	4187694	0.0012644892671427321	2	0.0015370845794677734	Needles1	
40	3.1	33.0	400	FALSE	2109580	0.0012644892671427321	2	0.00015807151794433594	Needles1	
41	3.1	135.0	400	FALSE	7303732	0.0020577698690700252	2	0.0006608963012695312	Needles1	
42	3.1	113.0	400	FALSE	5438011	0.002703764701111222	2	0.0005252361297607422	Needles1	
43	3.1	256.0	400	FALSE	2816381	0.0004883591114723806	2	0.0011889934539794922	Needles1	
44	3.1	11.0	400	FALSE	6513271	0.0012644892671427321	2	5.698204040527344e-05	Needles1	
45	3.1	33.0	400	FALSE	1999443	0.0012644892671427321	2	0.00015306472778320312	Needles1	
46	3.1	140.0	400	FALSE	8092601	0.004474762140337152	2	0.0006539821624755859	Needles1	
47	3.1	182.0	400	FALSE	2036757	0.0036616191072416093	2	0.0012516975402832031	Needles1	
48	3.1	11.0	400	FALSE	776502	0.0012644892671427321	2	0.00011301040649414062	Needles1	
49	3.1	11.0	400	FALSE	9218097	0.0012644892671427321	2	0.00010800361633300781	Needles1	
50	3.1	11.0	400	FALSE	5985123	0.0012644892671427321	2	9.298324584960938e-05	Needles1	
51	3.1	168.0	400	FALSE	6685363	0.0014057377021496897	2	0.0015101432800292969	Needles1	
52	3.1	77.0	400	FALSE	7701277	0.0012644892671427321	2	0.0006630420684814453	Needles1	
53	3.1	11.0	400	FALSE	6572315	0.0012644892671427321	2	0.00010395050048828125	Needles1	
54	3.1	22.0	400	FALSE	1392385	0.0012644892671427321	2	0.00019812583923339844	Needles1	
55	3.1	162.0	400	FALSE	5725971	0.004038414371164922	2	0.0014421939849853516	Needles1	
56	3.1	55.0	400	FALSE	2023970	0.0012644892671427321	2	0.0004799365997314453	Needles1	
57	3.1	55.0	400	FALSE	355554	0.0012644892671427321	2	0.0004889965057373047	Needles1	
58	3.1	110.0	400	FALSE	1702413	0.0012644892671427321	2	0.0007460117340087891	Needles1	
59	3.1	11.0	400	FALSE	6179989	0.0012644892671427321	2	0.0001010894775390625	Needles1	
60	3.1	44.0	400	FALSE	7200586	0.0012644892671427321	2	0.0002071857452392578	Needles1	
61	3.1	22.0	400	FALSE	5097028	0.0012644892671427321	2	0.00011587142944335938	Needles1	
62	3.1	129.0	400	FALSE	8552736	0.004748809824634215	2	0.0012500286102294922	Needles1	
63	3.1	66.0	400	FALSE	3257853	0.0012644892671427321	2	0.0006008148193359375	Needles1	
64	3.1	22.0	400	FALSE	8617866	0.0012644892671427321	2	0.00021195411682128906	Needles1	
65	3.1	143.0	400	FALSE	6051955	0.0012644892671427321	2	0.0015878677368164062	Needles1	
66	3.1	22.0	400	FALSE	2923387	0.0012644892671427321	2	0.00021982192993164062	Needles1	
67	3.1	22.0	400	FALSE	9897772	0.0012644892671427321	2	0.0002307891845703125	Needles1	
68	3.1	22.0	400	FALSE	1911496	0.0012644892671427321	2	0.0001900196075439453	Needles1	
69	3.1	11.0	400	FALSE	5212660	0.0012644892671427321	2	5.793571472167969e-05	Needles1	
70	3.1	22.0	400	FALSE	7724565	0.0012644892671427321	2	0.00010800361633300781	Needles1	
71	3.1	77.0	400	FALSE	1123078	0.0012644892671427321	2	0.0004429817199707031	Needles1	
72	3.1	11.0	400	FALSE	3745909	0.0012644892671427321	2	6.580352783203125e-05	Needles1	
73	3.1	247.0	400	FALSE	9471695	0.004904161696624332	2	0.0011851787567138672	Needles1	
74	3.1	33.0	400	FALSE	8870743	0.0012644892671427321	2	0.00015997886657714844	Needles1	
75	3.1	44.0	400	FALSE	5685336	0.0012644892671427321	2	0.0002238750457763672	Needles1	
76	3.1	11.0	400	FALSE	6385110	0.0012644892671427321	2	5.316734313964844e-05	Needles1	
77	3.1	179.0	400	FALSE	5282612	0.0012417763970176132	2	0.0010089874267578125	Needles1	
78	3.1	11.0	400	FALSE	5865964	0.0012644892671427321	2	5.698204040527344e-05	Needles1	
79	3.1	77.0	400	FALSE	3329190	0.0012644892671427321	2	0.0003600120544433594	Needles1	
80	3.1	44.0	400	FALSE	7574866	0.0012644892671427321	2	0.00020575523376464844	Needles1	
81	3.1	22.0	400	FALSE	5846443	0.0012644892671427321	2	0.00010228157043457031	Needles1	
82	3.1	248.0	400	FALSE	17516	0.0023521472608862837	2	0.0012290477752685547	Needles1	
83	3.1	110.0	400	FALSE	3274886	0.0012644892671427321	2	0.0005710124969482422	Needles1	
84	3.1	11.0	400	FALSE	8636505	0.0012644892671427321	2	6.604194641113281e-05	Needles1	
85	3.1	99.0	400	FALSE	5094371	0.0012644892671427321	2	0.0006871223449707031	Needles1	
86	3.1	55.0	400	FALSE	4549111	0.0012644892671427321	2	0.0002579689025878906	Needles1	
