sampleId	piHat	cntProbe	isCensored	seedInit	OFError	signifDigits	runtime	solverName	
95	3.1	33.0	FALSE	6686321	0.0012644892671427321	2	0.00010776519775390625	Needles1	
96	3.1	33.0	FALSE	255580	0.0012644892671427321	2	0.00010585784912109375	Needles1	
97	3.1	44.0	FALSE	4201026	0.0012644892671427321	2	0.0001430511474609375	Needles1	
98	3.1	11.0	FALSE	8240466	0.0012644892671427321	2	3.790855407714844e-05	Needles1	
99	3.1	77.0	FALSE	3090310	0.0012644892671427321	2	0.00024509429931640625	Needles1	
100	3.14	523.0	FALSE	6174647	0.00045151244885888175	3	0.0016551017761230469	Needles1	
101	3.14	432.0	FALSE	7684949	0.0002255282281815596	3	0.001386880874633789	Needles1	
102	3.14	556.0	FALSE	5197363	0.0003497157368927972	3	0.0017521381378173828	Needles1	
103	3.14	432.0	FALSE	6226073	0.0002255282281815596	3	0.0014259815216064453	Needles1	
104	3.14	432.0	FALSE	4552021	0.0002255282281815596	3	0.0013589859008789062	Needles1	
105	3.14	600.0	FALSE	2086440	0.00023139704549723916	3	0.002691030502319336	Needles1	
106	3.14	311.0	FALSE	2716471	0.000178512175858625	3	0.0011281967163085938	Needles1	
107	3.14	256.0	FALSE	40021	0.0004883591114723806	3	0.0007979869842529297	Needles1	
108	3.14	443.0	FALSE	6244508	0.0002513180412058169	3	0.0014150142669677734	Needles1	
109	3.14	567.0	FALSE	9245400	0.00031841536285304173	3	0.0017781257629394531	Needles1	
110	3.14	300.0	FALSE	1665436	0.00023139704549723916	3	0.0009489059448242188	Needles1	
111	3.14	520.0	FALSE	7304104	0.0004013041139274698	3	0.0016260147094726562	Needles1	
112	3.14	699.0	FALSE	723302	1.961988213494692e-05	3	0.0022063255310058594	Needles1	
113	3.14	300.0	FALSE	9197845	0.00023139704549723916	3	0.0009500980377197266	Needles1	
114	3.14	267.0	FALSE	2348072	0.0004161830017648249	3	0.001010894775390625	Needles1	
115	3.14	278.0	FALSE	322272	0.0003497157368927972	3	0.0011451244354248047	Needles1	
116	3.14	333.0	FALSE	176421	8.321962773605307e-05	3	0.0012180805206298828	Needles1	
117	3.14	256.0	FALSE	1957722	0.0004883591114723806	3	0.0012962818145751953	Needles1	
