Experiment	Seed	Pi	Error	OFTol	Significant Figures:	ID	CntProbeLmt	CntProbe	IsCensored	RunTime	
Dart	5046287	3.1415851955	-7.4045e-06	5e-06	5	417	15625000000	114560.0	False	0.22806334495544434	
Dart	3367565	3.1415943963	1.7963e-06	5e-06	5	418	15625000000	23984.0	False	0.04764819145202637	
Dart	1303282	3.1415915687	-1.0313e-06	5e-06	5	419	15625000000	26188.0	False	0.05348658561706543	
Dart	2945610	3.1415931349	5.349e-07	5e-06	5	420	15625000000	330016.0	False	0.6782658100128174	
Dart	6895449	3.1415883177	-4.2823e-06	5e-06	5	421	15625000000	24995.0	False	0.05089688301086426	
Dart	7867442	3.141590097	-2.503e-06	5e-06	5	422	15625000000	62688.0	False	0.12947940826416016	
Dart	5786815	3.1415895062	-3.0938e-06	5e-06	5	423	15625000000	10368.0	False	0.02062201499938965	
Dart	1953488	3.1415918417	-7.583e-07	5e-06	5	424	15625000000	24613.0	False	0.05059313774108887	
Dart	632339	3.1415901172	-2.4828e-06	5e-06	5	425	15625000000	12628.0	False	0.025501251220703125	
Dart	1665159	3.1415949682	2.3682e-06	5e-06	5	426	15625000000	82010386.0	False	168.9763617515564	
Dart	9645426	3.1415944692	1.8692e-06	5e-06	5	427	15625000000	45708.0	False	0.09011030197143555	
Dart	6643572	3.1415863603	-6.2397e-06	5e-06	5	428	15625000000	2698.0	False	0.005308389663696289	
Dart	8469822	3.1415929204	3.204e-07	5e-06	5	429	15625000000	2260.0	False	0.004410982131958008	
Dart	5154958	3.1415858325	-6.7675e-06	5e-06	5	430	15625000000	44948.0	False	0.09192347526550293	
Dart	7790999	3.1415865036	-6.0964e-06	5e-06	5	431	15625000000	41374.0	False	0.0818488597869873	
Dart	7386857	3.1415918349	-7.651e-07	5e-06	5	432	15625000000	309806.0	False	0.6372265815734863	
Dart	2179268	3.1415859723	-6.6277e-06	5e-06	5	433	15625000000	3821.0	False	0.007774829864501953	
Dart	3141155	3.1415850401	-7.5599e-06	5e-06	5	434	15625000000	5615.0	False	0.011054039001464844	
Dart	711833	3.141588711	-3.889e-06	5e-06	5	435	15625000000	12614.0	False	0.025798320770263672	
Dart	6216227	3.141591053	-1.547e-06	5e-06	5	436	15625000000	14217.0	False	0.02951526641845703	
Dart	6882973	3.141590416	-2.184e-06	5e-06	5	437	15625000000	137813.0	False	0.2851414680480957	
Dart	6953638	3.1415871165	-5.4835e-06	5e-06	5	438	15625000000	13723.0	False	0.02888631820678711	
Dart	885278	3.1415929204	3.204e-07	5e-06	5	439	15625000000	7684.0	False	0.015892744064331055	
Dart	61302	3.1415855355	-7.0645e-06	5e-06	5	440	15625000000	7190.0	False	0.014693021774291992	
Dart	1612860	3.1415871165	-5.4835e-06	5e-06	5	441	15625000000	13723.0	False	0.028570890426635742	
Dart	8168025	3.1415912156	-1.3844e-06	5e-06	5	442	15625000000	5191.0	False	0.010250568389892578	
Dart	714762	3.1415898214	-2.7786e-06	5e-06	5	443	15625000000	17134.0	False	0.03492856025695801	
Dart	2707175	3.1415859723	-6.6277e-06	5e-06	5	444	15625000000	3821.0	False	0.007815361022949219	
Dart	5256397	3.1415934231	8.231e-07	5e-06	5	445	15625000000	1601847.0	False	3.33594012260437	
Dart	8991617	3.1415896971	-2.9029e-06	5e-06	5	446	15625000000	107077.0	False	0.21900725364685059	
Dart	3085116	3.1415929204	3.204e-07	5e-06	5	447	15625000000	452.0	False	0.0009214878082275391	
Dart	9888021	3.1415929204	3.204e-07	5e-06	5	448	15625000000	12204.0	False	0.02490854263305664	
Dart	9005653	3.1415850401	-7.5599e-06	5e-06	5	449	15625000000	2246.0	False	0.004521369934082031	
Dart	6376567	3.1415893505	-3.2495e-06	5e-06	5	450	15625000000	2479.0	False	0.00491023063659668	
Dart	2045337	3.1415857389	-6.8611e-06	5e-06	5	451	15625000000	1121370.0	False	2.2261078357696533	
Dart	2611259	3.1415929204	3.204e-07	5e-06	5	452	15625000000	8136.0	False	0.0161588191986084	
Dart	9794659	3.1415929204	3.204e-07	5e-06	5	453	15625000000	452.0	False	0.0008950233459472656	
Dart	9453950	3.1415897374	-2.8626e-06	5e-06	5	454	15625000000	8341.0	False	0.01658940315246582	
Dart	8460524	3.1415876327	-4.9673e-06	5e-06	5	455	15625000000	184098.0	False	0.3827948570251465	
Dart	6113680	3.1415901305	-2.4695e-06	5e-06	5	456	15625000000	47581.0	False	0.09862923622131348	
Dart	477670	3.1415903045	-2.2955e-06	5e-06	5	457	15625000000	3383.0	False	0.0070455074310302734	
Dart	7365614	3.1415850401	-7.5599e-06	5e-06	5	458	15625000000	1123.0	False	0.0022859573364257812	
Dart	8210327	3.1415915687	-1.0313e-06	5e-06	5	459	15625000000	6547.0	False	0.01327657699584961	
Dart	2239386	3.1415929204	3.204e-07	5e-06	5	460	15625000000	2260.0	False	0.004587888717651367	
Dart	8075414	3.1415873016	-5.2984e-06	5e-06	5	461	15625000000	3150.0	False	0.0064051151275634766	
Dart	8056642	3.1415929204	3.204e-07	5e-06	5	462	15625000000	904.0	False	0.0018184185028076172	
Dart	1161584	3.1415908561	-1.7439e-06	5e-06	5	463	15625000000	4287.0	False	0.008410453796386719	
Dart	6837647	3.1415929204	3.204e-07	5e-06	5	464	15625000000	904.0	False	0.0017549991607666016	
Dart	6911751	3.1415899914	-2.6086e-06	5e-06	5	465	15625000000	15107.0	False	0.030310630798339844	
Dart	3765526	3.1415877922	-4.8078e-06	5e-06	5	466	15625000000	5177.0	False	0.010703563690185547	
Dart	1551548	3.1415946977	2.0977e-06	5e-06	5	467	15625000000	19916.0	False	0.0408935546875	
Dart	9577701	3.1415896488	-2.9512e-06	5e-06	5	468	15625000000	16230.0	False	0.033742427825927734	
Dart	6243280	3.1415929204	3.204e-07	5e-06	5	469	15625000000	6328.0	False	0.01329660415649414	
Dart	1522195	3.1415929204	3.204e-07	5e-06	5	470	15625000000	2260.0	False	0.004587411880493164	
Dart	1621557	3.1415854685	-7.1315e-06	5e-06	5	471	15625000000	8313.0	False	0.01705002784729004	
Dart	1643607	3.1415938097	1.2097e-06	5e-06	5	472	15625000000	19902.0	False	0.040325164794921875	
Dart	3781720	3.1415914684	-1.1316e-06	5e-06	5	473	15625000000	6095.0	False	0.012282371520996094	
Dart	9399481	3.1415937899	1.1899e-06	5e-06	5	474	15625000000	10177.0	False	0.020447492599487305	
Dart	5244704	3.1415873016	-5.2984e-06	5e-06	5	475	15625000000	12600.0	False	0.02603292465209961	
Dart	8766591	3.1415936192	1.0192e-06	5e-06	5	476	15625000000	25326.0	False	0.05117940902709961	
Dart	2301782	3.1415906128	-1.9872e-06	5e-06	5	477	15625000000	3835.0	False	0.008102178573608398	
Dart	6515101	3.1415877922	-4.8078e-06	5e-06	5	478	15625000000	5177.0	False	0.010709047317504883	
Dart	7381083	3.1415865136	-6.0864e-06	5e-06	5	479	15625000000	9669.0	False	0.019790172576904297	
Dart	9412477	3.1415908561	-1.7439e-06	5e-06	5	480	15625000000	4287.0	False	0.008882284164428711	
Dart	5558981	3.1415949779	2.3779e-06	5e-06	5	481	15625000000	4301.0	False	0.008533716201782227	
Dart	2744688	3.1415925798	-2.02e-08	5e-06	5	482	15625000000	25983.0	False	0.053443193435668945	
Dart	6459780	3.1415852334	-7.3666e-06	5e-06	5	483	15625000000	18420.0	False	0.03662443161010742	
Dart	6073280	3.1415889925	-3.6075e-06	5e-06	5	484	15625000000	4506.0	False	0.009187459945678711	
Dart	1276126	3.1415873016	-5.2984e-06	5e-06	5	485	15625000000	1575.0	False	0.003191232681274414	
Dart	1427416	3.1415862358	-6.3642e-06	5e-06	5	486	15625000000	23830.0	False	0.04912424087524414	
Dart	9109616	3.1415867574	-5.8426e-06	5e-06	5	487	15625000000	18667.0	False	0.037401676177978516	
